,Team,GP,Round reached,W,L
1,New Jersey Devils,5,1,1,4
2,Tampa Bay Lightning,17,3,11,6
3,Toronto Maple Leafs,7,1,3,4
4,Boston Bruins,12,2,5,7
5,Columbus Blue Jackets,6,1,2,4
6,Washington Capitals,24,5,16,8
7,Philadelphia Flyers,6,1,2,4
8,Pittsburgh Penguins,12,2,6,6
9,Colorado Avalanche,6,1,2,4
10,Nashville Predators,13,2,7,6
11,Minnesota Wild,5,1,1,4
12,Winnipeg Jets,17,3,9,8
13,Los Angeles Kings,4,1,0,4
14,Vegas Golden Knights,20,4,13,7
15,San Jose Sharks,10,2,6,4
16,Anaheim Ducks,4,1,0,4
