,Team,GP,Round reached,W,L
1,Washington Capitals,6,1,2,4
2,Florida Panthers,10,2,4,6
3,Tampa Bay Lightning,23,4,14,9
4,Toronto Maple Leafs,7,1,3,4
5,Boston Bruins,7,1,3,4
6,Carolina Hurricanes,14,2,7,7
7,Pittsburgh Penguins,7,1,3,4
8,New York Rangers,20,3,10,10
9,Nashville Predators,4,1,0,4
10,Colorado Avalanche,20,5,16,4
11,St Louis Blues,12,2,6,6
12,Minnesota Wild,6,1,2,4
13,Dallas Stars,7,1,3,4
14,Calgary Flames,12,2,5,7
15,Los Angeles Kings,7,1,3,4
16,Edmonton Oilers,16,3,8,8
