,Team,GP,Round reached,W,L
1,Tampa Bay Lightning,5,1,1,4
2,Florida Panthers,24,5,16,8
3,Toronto Maple Leafs,7,1,3,4
4,Boston Bruins,13,2,6,7
5,Washington Capitals,4,1,0,4
6,New York Rangers,16,3,10,6
7,New York Islanders,5,1,1,4
8,Carolina Hurricanes,11,2,6,5
9,Vegas Golden Knights,7,1,3,4
10,Dallas Stars,19,3,10,9
11,Colorado Avalanche,11,2,6,5
12,Winnipeg Jets,5,1,1,4
13,Nashville Predators,6,1,2,4
14,Vancouver Canucks,13,2,7,6
15,Los Angeles Kings,5,1,1,4
16,Edmonton Oilers,25,4,15,10
