,Team,GP,Round reached,W,L
1,New York Rangers,12,2,6,6
2,Montreal Canadiens,6,1,2,4
3,Boston Bruins,6,1,2,4
4,Ottawa Senators,19,3,11,8
5,Toronto Maple Leafs,6,1,2,4
6,Washington Capitals,13,2,7,6
7,Columbus Blue Jackets,5,1,1,4
8,Pittsburgh Penguins,25,5,16,9
9,Nashville Predators,22,4,14,8
10,Chicago Blackhawks,4,1,0,4
11,St Louis Blues,11,2,6,5
12,Minnesota Wild,5,1,1,4
13,Calgary Flames,4,1,0,4
14,Anaheim Ducks,17,3,10,7
15,San Jose Sharks,6,1,2,4
16,Edmonton Oilers,13,2,7,6
