,Team,GP,Round reached,W,L
1,Ottawa Senators,6,1,2,4
2,Montreal Canadiens,12,2,6,6
3,Detroit Red Wings,7,1,3,4
4,Tampa Bay Lightning,26,4,14,12
5,Pittsburgh Penguins,5,1,1,4
6,New York Rangers,19,3,11,8
7,New York Islanders,7,1,3,4
8,Washington Capitals,14,2,7,7
9,Minnesota Wild,10,2,4,6
10,St Louis Blues,6,1,2,4
11,Chicago Blackhawks,23,5,16,7
12,Nashville Predators,6,1,2,4
13,Winnipeg Jets,4,1,0,4
14,Anaheim Ducks,16,3,11,5
15,Calgary Flames,11,2,5,6
16,Vancouver Canucks,6,1,2,4
