,Team,GP,Round reached,W,L
1,Florida Panthers,21,4,13,8
2,Boston Bruins,7,1,3,4
3,Tampa Bay Lightning,6,1,2,4
4,Toronto Maple Leafs,11,2,5,6
5,New York Islanders,6,1,2,4
6,Carolina Hurricanes,15,3,8,7
7,New York Rangers,7,1,3,4
8,New Jersey Devils,12,2,5,7
9,Seattle Kraken,14,2,7,7
10,Colorado Avalanche,7,1,3,4
11,Minnesota Wild,6,1,2,4
12,Dallas Stars,19,3,10,9
13,Winnipeg Jets,5,1,1,4
14,Vegas Golden Knights,22,5,16,6
15,Los Angeles Kings,6,1,2,4
16,Edmonton Oilers,12,2,6,6
