,Team,GP,Round reached,W,L
1,Ottawa Senators,6,1,2,4
2,Toronto Maple Leafs,13,2,7,6
3,Florida Panthers,23,5,16,7
4,Tampa Bay Lightning,5,1,1,4
5,Montreal Canadiens,5,1,1,4
6,Washington Capitals,10,2,5,5
7,New Jersey Devils,5,1,1,4
8,Carolina Hurricanes,15,3,9,6
9,St Louis Blues,7,1,3,4
10,Winnipeg Jets,13,2,6,7
11,Colorado Avalanche,7,1,3,4
12,Dallas Stars,18,3,9,9
13,Minnesota Wild,6,1,2,4
14,Vegas Golden Knights,11,2,5,6
15,Edmonton Oilers,22,4,14,8
16,Los Angeles Kings,6,1,2,4
