,Team,GP,Round reached,W,L
1,Columbus Blue Jackets,10,2,6,4
2,Tampa Bay Lightning,4,1,0,4
3,Toronto Maple Leafs,7,1,3,4
4,Boston Bruins,24,4,15,9
5,Carolina Hurricanes,15,3,8,7
6,Washington Capitals,7,1,3,4
7,Pittsburgh Penguins,4,1,0,4
8,New York Islanders,8,2,4,4
9,Dallas Stars,13,2,7,6
10,Nashville Predators,6,1,2,4
11,St Louis Blues,26,5,16,10
12,Winnipeg Jets,6,1,2,4
13,Colorado Avalanche,12,2,7,5
14,Calgary Flames,5,1,1,4
15,Vegas Golden Knights,7,1,3,4
16,San Jose Sharks,20,3,10,10
