,Team,GP,Round reached,W,L
1,Detroit Red Wings,5,1,1,4
2,Boston Bruins,12,2,7,5
3,Montreal Canadiens,17,3,10,7
4,Tampa Bay Lightning,4,1,0,4
5,Columbus Blue Jackets,6,1,2,4
6,Pittsburgh Penguins,13,2,7,6
7,Philadelphia Flyers,7,1,3,4
8,New York Rangers,25,4,13,12
9,Minnesota Wild,13,2,6,7
10,Colorado Avalanche,7,1,3,4
11,Chicago Blackhawks,19,3,11,8
12,St Louis Blues,6,1,2,4
13,Dallas Stars,6,1,2,4
14,Anaheim Ducks,13,2,7,6
15,Los Angeles Kings,26,5,16,10
16,San Jose Sharks,7,1,3,4
