,0
SCGF%,0.14670008772254253
PDO,0.09690819566820011
HDGF%,0.07206396450122163
MDGF%,0.043770815223416665
LDGF%,0.04122815508019873
SV%,0.03679051877835203
SCGA,0.03273323323003042
SH%,0.03149035971989204
SCGF,0.027988619239661065
SCSV%,0.024713111514600282
