season,team,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,made_playoffs,round_reached
2021:2022,Minnesota Wild,82,4996.4,4730,4632,50.52,3588,3517,50.5,2669,2577,50.88,234.75,226.81,50.86,2359,2108,52.81,1469,1310,52.86,245,189,56.45,16.68,85.57,904,810,52.74,694,603,53.51,146,125,53.87,21.04,79.27,1455,1298,52.85,775,707,52.29,99,64,60.74,12.77,90.95,2116,2210,48.91,1083,1130,48.94,53,49,51.96,4.89,95.66,11.43,90.34,1.018,1,1
2021:2022,Ottawa Senators,82,4967.0333,4498,4920,47.76,3411,3722,47.82,2465,2740,47.36,233.92,261.47,47.22,2295,2515,47.71,1355,1530,46.97,178,224,44.28,13.14,85.36,965,1000,49.11,690,746,48.05,120,137,46.69,17.39,81.64,1330,1515,46.75,665,784,45.89,58,87,40.0,8.72,88.9,1953,2138,47.74,978,1075,47.64,37,35,51.39,3.78,96.74,9.09,90.36,0.995,0,0
2021:2022,Florida Panthers,82,4984.2167,5374,4300,55.55,4051,3305,55.07,3062,2515,54.9,298.19,239.02,55.51,2893,2261,56.13,1822,1443,55.8,279,203,57.88,15.31,85.93,1190,1006,54.19,925,765,54.73,187,135,58.07,20.22,82.35,1703,1255,57.57,897,678,56.95,92,68,57.5,10.26,89.97,2190,1790,55.03,1101,924,54.37,51,33,60.71,4.63,96.43,11.01,90.38,1.014,1,2
2021:2022,Los Angeles Kings,82,4992.2167,5087,4334,54.0,3930,3243,54.79,2866,2343,55.02,267.2,235.65,53.14,2556,2304,52.59,1518,1351,52.91,183,195,48.41,12.06,85.57,1047,983,51.58,750,723,50.92,130,128,50.39,17.33,82.3,1509,1321,53.32,768,628,55.01,53,67,44.17,6.9,89.33,2783,2166,56.23,1219,868,58.41,40,32,55.56,3.28,96.31,8.2,90.1,0.983,1,1
2021:2022,Anaheim Ducks,82,5001.9833,4399,4893,47.34,3326,3771,46.86,2395,2722,46.8,217.19,256.93,45.81,2164,2463,46.77,1302,1520,46.14,180,205,46.75,13.82,86.51,872,1003,46.51,669,733,47.72,127,132,49.03,18.98,81.99,1292,1460,46.95,633,787,44.58,53,73,42.06,8.37,90.72,1954,2159,47.51,941,1072,46.75,41,54,43.16,4.36,94.96,9.52,90.23,0.997,0,0
2021:2022,Arizona Coyotes,82,4969.4333,3905,5121,43.26,2969,3972,42.77,2121,2903,42.22,199.6,268.09,42.68,1926,2591,42.64,1181,1581,42.76,169,246,40.72,14.31,84.44,819,1101,42.66,589,805,42.25,108,151,41.7,18.34,81.24,1107,1490,42.63,592,776,43.27,61,95,39.1,10.3,87.76,1756,2285,43.45,850,1199,41.48,33,56,37.08,3.88,95.33,9.71,89.39,0.991,0,0
2021:2022,Boston Bruins,82,4959.6167,4897,4272,53.41,3896,3255,54.48,2963,2356,55.71,250.65,206.76,54.8,2434,2044,54.35,1566,1177,57.09,211,175,54.66,13.47,85.13,937,781,54.54,733,580,55.83,130,116,52.85,17.74,80.0,1497,1263,54.24,833,597,58.25,81,59,57.86,9.72,90.12,2270,2021,52.9,1245,1045,54.37,41,36,53.25,3.29,96.56,8.54,90.75,0.993,1,1
2021:2022,Buffalo Sabres,82,4974.3167,4238,4534,48.31,3280,3637,47.42,2453,2703,47.58,204.91,245.28,45.52,2025,2291,46.92,1235,1466,45.72,176,236,42.72,14.25,83.9,809,1017,44.3,602,767,43.97,104,149,41.11,17.28,80.57,1216,1274,48.84,633,699,47.52,72,87,45.28,11.37,87.55,1966,2042,49.05,1101,1118,49.62,45,42,51.72,4.09,96.24,9.34,89.38,0.987,0,0
2021:2022,Columbus Blue Jackets,82,4971.9167,4554,4915,48.09,3441,3842,47.25,2464,2889,46.03,224.52,264.31,45.93,2179,2544,46.14,1288,1639,44.0,205,244,45.66,15.92,85.11,807,1054,43.36,604,813,42.63,125,153,44.96,20.7,81.18,1372,1490,47.94,684,826,45.3,80,91,46.78,11.7,88.98,2094,2145,49.4,1022,1133,47.42,44,50,46.81,4.31,95.59,10.47,89.72,1.002,0,0
2021:2022,Carolina Hurricanes,82,4969.3667,5117,4059,55.77,3974,3201,55.39,2798,2310,54.78,284.06,228.27,55.44,2519,2079,54.78,1456,1273,53.35,233,171,57.67,16.0,86.57,1128,928,54.86,775,683,53.16,158,124,56.03,20.39,81.84,1391,1151,54.72,681,590,53.58,75,47,61.48,11.01,92.03,2325,1727,57.38,1219,911,57.23,37,26,58.73,3.04,97.15,9.9,91.34,1.012,1,2
2021:2022,Chicago Blackhawks,82,4996.3,4267,4921,46.44,3132,3621,46.38,2362,2703,46.63,205.28,242.12,45.88,2093,2420,46.38,1293,1452,47.1,178,229,43.73,13.77,84.23,774,871,47.05,594,661,47.33,111,138,44.58,18.69,79.12,1319,1549,45.99,699,791,46.91,67,91,42.41,9.59,88.5,1946,2253,46.34,970,1147,45.82,33,49,40.24,3.4,95.73,9.02,89.31,0.983,0,0
