season,team,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,made_playoffs,round_reached
2022:2023,Boston Bruins,82,4982.75,4833,4567,51.41,3653,3421,51.64,2704,2447,52.49,270.46,228.78,54.17,2674,2354,53.18,1611,1331,54.76,243,144,62.79,15.08,89.18,1098,941,53.85,804,673,54.43,142,94,60.17,17.66,86.03,1576,1413,52.73,807,658,55.09,101,50,66.89,12.52,92.4,1974,1966,50.1,969,947,50.57,50,26,65.79,5.16,97.25,11.13,92.89,1.04,1,1
2022:2023,Arizona Coyotes,82,4991.8167,3954,5229,43.06,2963,4003,42.54,2121,2875,42.45,205.79,294.71,41.12,2056,2819,42.17,1210,1655,42.23,188,246,43.32,15.54,85.14,823,1161,41.48,576,815,41.41,109,154,41.44,18.92,81.1,1233,1658,42.65,634,840,43.01,79,92,46.2,12.46,89.05,1688,2193,43.49,809,1103,42.31,35,44,44.3,4.33,96.01,10.61,89.74,1.003,0,0
2022:2023,Anaheim Ducks,82,4985.6333,4234,5565,43.21,3184,4364,42.18,2326,3208,42.03,218.47,322.95,40.35,2097,2995,41.18,1216,1867,39.44,164,262,38.5,13.49,85.97,878,1357,39.28,623,1004,38.29,102,175,36.82,16.37,82.57,1219,1638,42.67,593,863,40.73,62,87,41.61,10.46,89.92,1778,2340,43.18,887,1220,42.1,39,67,36.79,4.4,94.51,8.86,89.56,0.984,0,0
2022:2023,Vegas Golden Knights,82,4997.5,4786,5056,48.63,3524,3563,49.72,2587,2534,50.52,257.25,239.22,51.82,2433,2462,49.7,1464,1321,52.57,228,182,55.61,15.57,86.22,1069,915,53.88,773,646,54.47,145,108,57.31,18.76,83.28,1364,1547,46.86,691,675,50.59,83,74,52.87,12.01,89.04,2020,2304,46.72,965,1071,47.4,32,38,45.71,3.32,96.45,10.32,91.12,1.014,1,5
2022:2023,Los Angeles Kings,82,4989.3333,4870,4579,51.54,3669,3271,52.87,2659,2289,53.74,250.08,230.77,52.01,2461,2364,51.01,1434,1277,52.9,214,206,50.95,14.92,83.87,992,912,52.1,720,624,53.57,127,129,49.61,17.64,79.33,1469,1452,50.29,714,653,52.23,87,77,53.05,12.18,88.21,2822,2461,53.42,1102,874,55.77,52,45,53.61,4.72,94.85,10.3,88.9,0.992,1,1
2022:2023,Winnipeg Jets,82,4951.6167,4837,4557,51.49,3626,3444,51.29,2486,2487,49.99,267.42,251.25,51.56,2502,2301,52.09,1397,1364,50.6,207,174,54.33,14.82,87.24,1084,998,52.07,714,672,51.52,129,119,52.02,18.07,82.29,1418,1303,52.11,683,692,49.67,78,55,58.65,11.42,92.05,2020,1944,50.96,968,977,49.77,35,44,44.3,3.62,95.5,9.9,90.99,1.009,1,1
2023:2024,Anaheim Ducks,82,4951.65,4331,5309,44.93,3156,3857,45.0,2194,2666,45.14,209.96,282.44,42.64,1939,2555,43.15,1074,1393,43.53,163,235,40.95,15.18,83.13,804,1107,42.07,534,745,41.75,102,142,41.8,19.1,80.94,1135,1448,43.94,540,648,45.45,61,93,39.61,11.3,85.65,2646,3276,44.68,969,1161,45.49,37,53,41.11,3.82,95.43,9.25,89.01,0.983,0,0
2023:2024,Winnipeg Jets,82,4951.15,4903,4846,50.29,3593,3510,50.58,2489,2429,50.61,250.92,244.55,50.64,2262,2255,50.08,1238,1229,50.18,220,168,56.7,17.77,86.33,961,994,49.16,666,652,50.53,141,108,56.63,21.17,83.44,1301,1261,50.78,572,577,49.78,79,60,56.83,13.81,89.6,2987,2900,50.74,1128,1066,51.41,36,24,60.0,3.19,97.75,10.41,91.85,1.023,1,1
2023:2024,Vancouver Canucks,82,4964.75,4837,4606,51.22,3477,3356,50.89,2328,2341,49.86,261.73,236.29,52.55,2385,2141,52.7,1257,1179,51.6,223,178,55.61,17.74,84.9,1069,936,53.32,688,634,52.04,146,118,55.3,21.22,81.39,1316,1205,52.2,569,545,51.08,77,60,56.2,13.53,88.99,2860,2811,50.43,950,1048,47.55,47,39,54.65,4.95,96.28,11.98,90.56,1.025,1,2
2023:2024,Toronto Maple Leafs,82,4995.9,5246,5075,50.83,3811,3628,51.23,2671,2446,52.2,275.75,252.07,52.24,2620,2418,52.0,1465,1306,52.87,245,208,54.08,16.72,84.07,1153,986,53.9,770,664,53.7,147,129,53.26,19.09,80.57,1467,1432,50.6,695,642,51.98,98,79,55.37,14.1,87.69,3056,2929,51.06,1066,1031,50.83,45,48,48.39,4.22,95.34,11.16,89.33,1.005,1,1
2023:2024,Tampa Bay Lightning,82,4962.6833,4946,4762,50.95,3518,3402,50.84,2403,2430,49.72,255.02,251.22,50.38,2410,2265,51.55,1277,1276,50.02,224,209,51.73,17.54,83.62,964,935,50.76,640,644,49.84,137,122,52.9,21.41,81.06,1446,1330,52.09,637,632,50.2,87,87,50.0,13.66,86.23,2855,2762,50.83,1016,1023,49.83,60,49,55.05,5.91,95.21,11.99,89.01,1.01,1,1
2023:2024,St Louis Blues,82,4977.45,4551,5150,46.91,3369,3804,46.97,2370,2636,47.34,240.82,279.19,46.31,2213,2501,46.95,1240,1355,47.78,191,200,48.85,15.4,85.24,880,1104,44.35,604,716,45.76,113,127,47.08,18.71,82.26,1333,1397,48.83,636,639,49.88,78,73,51.66,12.26,88.58,2715,3049,47.1,1004,1159,46.42,34,39,46.58,3.39,96.64,9.87,90.59,1.005,0,0
2023:2024,Seattle Kraken,82,4993.95,5039,4844,50.99,3486,3543,49.59,2348,2391,49.55,233.8,237.46,49.61,2367,2164,52.24,1194,1128,51.42,169,181,48.29,14.15,83.95,911,868,51.21,565,528,51.69,105,118,47.09,18.58,77.65,1456,1296,52.91,629,600,51.18,64,63,50.39,10.17,89.5,3012,3108,49.22,1031,1132,47.67,41,40,50.62,3.98,96.47,9.11,90.3,0.994,0,0
2023:2024,San Jose Sharks,82,4970.15,4370,5826,42.86,3075,4191,42.32,2069,2881,41.8,206.12,303.75,40.43,1985,2929,40.39,1019,1574,39.3,148,259,36.36,14.52,83.55,802,1182,40.42,503,774,39.39,84,153,35.44,16.7,80.23,1183,1747,40.38,516,800,39.21,64,106,37.65,12.4,86.75,2676,3428,43.84,935,1182,44.17,29,61,32.22,3.1,94.84,8.7,88.68,0.974,0,0
2023:2024,Pittsburgh Penguins,82,4971.4833,5361,5042,51.53,3843,3701,50.94,2686,2480,51.99,285.87,254.37,52.92,2588,2421,51.67,1393,1302,51.69,186,202,47.94,13.35,84.49,1099,948,53.69,744,628,54.23,123,146,45.72,16.53,76.75,1489,1473,50.27,649,674,49.06,63,56,52.94,9.71,91.69,3173,2936,51.94,1140,1048,52.1,59,43,57.84,5.18,95.9,9.42,90.0,0.994,0,0
2023:2024,Philadelphia Flyers,82,4976.8667,5252,4917,51.65,3827,3280,53.85,2708,2225,54.9,250.97,234.95,51.65,2370,2303,50.72,1307,1153,53.13,184,217,45.89,14.08,81.18,1005,900,52.76,666,581,53.41,113,129,46.69,16.97,77.8,1365,1403,49.31,641,572,52.84,71,88,44.65,11.08,84.62,3221,2895,52.67,1258,935,57.36,42,41,50.6,3.34,95.61,8.53,88.4,0.969,0,0
2023:2024,Ottawa Senators,82,4974.95,5188,4891,51.47,3761,3432,52.29,2602,2433,51.68,263.98,245.11,51.85,2424,2358,50.69,1369,1256,52.15,200,218,47.85,14.61,82.64,978,949,50.75,665,639,51.0,121,132,47.83,18.2,79.34,1446,1409,50.65,704,617,53.29,79,86,47.88,11.22,86.06,3100,2824,52.33,1079,1039,50.94,44,57,43.56,4.08,94.51,9.61,88.45,0.981,0,0
2023:2024,New York Rangers,82,4974.6333,5166,4904,51.3,3784,3532,51.72,2582,2420,51.62,267.87,248.88,51.84,2470,2282,51.98,1325,1264,51.18,207,186,52.67,15.62,85.28,1010,956,51.37,647,646,50.04,123,120,50.62,19.01,81.42,1460,1326,52.4,678,618,52.31,84,66,56.0,12.39,89.32,3094,2897,51.64,1149,1033,52.66,62,35,63.92,5.4,96.61,10.77,90.66,1.014,1,3
2023:2024,New York Islanders,82,4983.1,4821,5519,46.62,3525,3846,47.82,2470,2686,47.91,246.26,265.07,48.16,2320,2573,47.41,1282,1343,48.84,199,198,50.13,15.52,85.26,983,1007,49.4,682,677,50.18,119,116,50.64,17.45,82.87,1337,1566,46.06,600,666,47.39,80,82,49.38,13.33,87.69,2864,3241,46.91,1070,1206,47.01,45,53,45.92,4.21,95.61,9.92,90.39,1.003,1,1
2023:2024,Nashville Predators,82,4952.3667,5206,4813,51.96,3782,3471,52.14,2641,2506,51.31,276.43,250.24,52.49,2573,2309,52.7,1419,1268,52.81,211,187,53.02,14.87,85.25,1073,926,53.68,729,627,53.76,145,116,55.56,19.89,81.5,1500,1383,52.03,690,641,51.84,66,71,48.18,9.57,88.92,3059,2872,51.58,1099,1098,50.02,43,54,44.33,3.91,95.08,10.07,90.1,1.002,1,1
2023:2024,New Jersey Devils,82,4949.3,5130,4752,51.91,3597,3523,50.52,2517,2458,50.59,266.5,267.15,49.94,2431,2285,51.55,1304,1273,50.6,218,222,49.55,16.72,82.56,996,968,50.71,672,674,49.93,133,141,48.54,19.79,79.08,1435,1317,52.14,632,599,51.34,85,81,51.2,13.45,86.48,3084,2709,53.24,1105,1041,51.49,41,51,44.57,3.71,95.1,10.49,88.57,0.991,0,0
2023:2024,Vegas Golden Knights,82,4975.25,4982,5227,48.8,3550,3616,49.54,2548,2487,50.61,247.7,240.91,50.69,2377,2404,49.72,1326,1214,52.2,216,187,53.6,16.29,84.6,947,926,50.56,652,577,53.05,126,112,52.94,19.33,80.59,1430,1478,49.17,674,637,51.41,90,75,54.55,13.35,88.23,2989,3069,49.34,1067,1140,48.35,36,48,42.86,3.37,95.79,10.32,90.23,1.006,1,1
2023:2024,Montreal Canadiens,82,5013.1167,4533,5537,45.01,3276,3932,45.45,2269,2739,45.31,233.34,292.41,44.38,2173,2743,44.2,1183,1464,44.69,192,224,46.15,16.23,84.7,901,1149,43.95,606,727,45.46,120,139,46.33,19.8,80.88,1272,1594,44.38,577,737,43.91,72,85,45.86,12.48,88.47,2642,3091,46.08,975,1144,46.01,35,51,40.7,3.59,95.54,10.22,89.74,1.0,0,0
2023:2024,Los Angeles Kings,82,4976.2833,5194,4692,52.54,3805,3336,53.28,2616,2297,53.25,260.57,236.12,52.46,2381,2195,52.03,1258,1143,52.39,200,170,54.05,15.9,85.13,952,878,52.02,620,567,52.23,124,104,54.39,20.0,81.66,1429,1317,52.04,638,576,52.55,76,66,53.52,11.91,88.54,3163,2867,52.45,1213,1031,54.06,47,35,57.32,3.87,96.61,9.71,90.86,1.006,1,1
2023:2024,Florida Panthers,82,4970.5,5624,4399,56.11,3954,3273,54.71,2766,2280,54.82,290.33,226.44,56.18,2611,2008,56.53,1378,1157,54.36,208,161,56.37,15.09,86.08,1111,884,55.69,726,625,53.74,127,107,54.27,17.49,82.88,1500,1124,57.16,652,532,55.07,81,54,60.0,12.42,89.85,3388,2648,56.13,1244,974,56.09,46,32,58.97,3.7,96.71,9.58,91.32,1.009,1,5
2023:2024,Edmonton Oilers,82,4969.1,5374,4461,54.64,3919,3266,54.54,2766,2307,54.52,305.48,232.95,56.74,2763,2227,55.37,1498,1236,54.79,233,193,54.69,15.55,84.39,1253,875,58.88,839,588,58.79,164,119,57.95,19.55,79.76,1510,1352,52.76,659,648,50.42,69,74,48.25,10.47,88.58,3108,2591,54.54,1130,964,53.96,54,35,60.67,4.78,96.37,10.56,89.77,1.003,1,4
2023:2024,Detroit Red Wings,82,4980.4333,4681,5337,46.73,3390,3867,46.71,2375,2657,47.2,236.13,268.07,46.83,2178,2554,46.03,1192,1369,46.54,213,227,48.41,17.87,83.42,807,1007,44.49,577,663,46.53,125,135,48.08,21.66,79.64,1371,1547,46.98,615,706,46.56,88,92,48.89,14.31,86.97,2868,3221,47.1,1035,1167,47.0,55,40,57.89,5.31,96.57,11.58,89.73,1.013,0,0
2023:2024,Dallas Stars,82,4982.1167,5301,4740,52.79,3798,3413,52.67,2588,2350,52.41,278.0,221.19,55.69,2624,2128,55.22,1411,1161,54.86,250,192,56.56,17.72,83.46,1094,841,56.54,719,566,55.95,157,120,56.68,21.84,78.8,1530,1287,54.31,692,595,53.77,93,72,56.36,13.44,87.9,3098,2955,51.18,1057,1069,49.72,37,35,51.39,3.5,96.73,11.36,90.13,1.015,1,3
2023:2024,Colorado Avalanche,82,4969.4,5333,4812,52.57,3826,3503,52.2,2707,2446,52.53,265.52,255.19,50.99,2588,2226,53.76,1424,1253,53.19,238,201,54.21,16.71,83.96,1083,990,52.24,718,699,50.67,149,138,51.92,20.75,80.26,1505,1236,54.91,706,554,56.03,89,63,58.55,12.61,88.63,3165,2956,51.71,1153,1060,52.1,53,44,54.64,4.6,95.85,11.16,89.7,1.009,1,2
2023:2024,Chicago Blackhawks,82,4949.9667,4256,5265,44.7,3046,3810,44.43,2153,2683,44.52,210.19,268.55,43.9,1995,2611,43.31,1121,1430,43.94,152,229,39.9,13.56,83.99,809,1115,42.05,546,731,42.76,101,155,39.45,18.5,78.8,1186,1496,44.22,575,699,45.13,51,74,40.8,8.87,89.41,2530,3080,45.1,927,1133,45.0,24,53,31.17,2.59,95.32,8.27,89.23,0.975,0,0
2023:2024,Calgary Flames,82,4962.2,5257,5009,51.21,3771,3530,51.65,2573,2438,51.35,264.16,255.11,50.87,2404,2438,49.65,1264,1311,49.09,194,206,48.5,15.35,84.29,982,968,50.36,648,666,49.32,129,117,52.44,19.91,82.43,1422,1470,49.17,616,645,48.85,65,89,42.21,10.55,86.2,3228,2955,52.21,1167,998,53.9,52,49,51.49,4.46,95.09,9.83,89.05,0.989,0,0
2023:2024,Columbus Blue Jackets,82,4978.6333,5052,5516,47.8,3578,3993,47.26,2458,2823,46.54,240.1,290.11,45.28,2308,2631,46.73,1218,1410,46.35,195,229,45.99,16.01,83.76,870,1093,44.32,575,725,44.23,116,138,45.67,20.17,80.97,1438,1538,48.32,643,685,48.42,79,91,46.47,12.29,86.72,3009,3272,47.91,1105,1280,46.33,37,62,37.37,3.35,95.16,9.52,89.44,0.99,0,0
2023:2024,Carolina Hurricanes,82,4972.7,5821,3999,59.28,4158,2977,58.28,2735,2101,56.56,278.57,212.24,56.76,2590,1899,57.7,1330,1118,54.33,219,179,55.03,16.47,83.99,1054,832,55.89,663,590,52.91,136,104,56.67,20.51,82.37,1536,1067,59.01,667,528,55.82,83,75,52.53,12.44,85.8,3645,2349,60.81,1292,833,60.8,51,24,68.0,3.95,97.12,10.13,89.96,1.001,1,2
2023:2024,Buffalo Sabres,82,4958.4167,4926,4851,50.38,3591,3557,50.24,2535,2402,51.35,242.48,265.43,47.74,2263,2382,48.72,1290,1296,49.88,186,196,48.69,14.42,84.88,858,1041,45.18,572,686,45.47,90,121,42.65,15.73,82.36,1405,1341,51.17,718,610,54.07,96,75,56.14,13.37,87.7,3004,2878,51.07,1135,1000,53.16,50,43,53.76,4.41,95.7,9.63,89.88,0.995,0,0
2023:2024,Boston Bruins,82,5002.6833,4610,5097,47.49,3383,3679,47.9,2396,2505,48.89,250.77,252.98,49.78,2340,2428,49.08,1346,1282,51.22,216,183,54.14,16.05,85.73,1036,1006,50.73,732,673,52.1,146,121,54.68,19.95,82.02,1304,1422,47.84,614,609,50.2,70,62,53.03,11.4,89.82,2566,3036,45.81,917,1097,45.53,42,33,56.0,4.58,96.99,10.98,91.18,1.022,1,2
2023:2024,Arizona Coyotes,82,4964.0333,4650,5129,47.55,3369,3785,47.09,2275,2599,46.68,241.32,270.79,47.12,2275,2510,47.54,1208,1358,47.08,196,214,47.8,16.23,84.24,901,1019,46.93,599,661,47.54,119,121,49.58,19.87,81.69,1374,1491,47.96,609,697,46.63,77,93,45.29,12.64,86.66,2654,3116,46.0,961,1103,46.56,52,51,50.49,5.41,95.38,11.16,89.46,1.006,0,0
2023:2024,Minnesota Wild,82,4984.2,5004,4934,50.35,3603,3513,50.63,2472,2437,50.36,250.62,229.52,52.2,2372,2279,51.0,1234,1207,50.55,191,199,48.97,15.48,83.51,976,886,52.42,645,573,52.96,120,124,49.18,18.6,78.36,1396,1393,50.05,589,634,48.16,71,75,48.63,12.05,88.17,2970,3109,48.86,1105,1118,49.71,46,55,45.54,4.16,95.08,10.03,89.33,0.994,0,0
2023:2024,Washington Capitals,82,4991.35,4572,5256,46.52,3219,3714,46.43,2172,2503,46.46,242.61,259.14,48.35,2203,2380,48.07,1126,1262,47.15,174,203,46.15,15.45,83.91,939,985,48.8,593,659,47.36,121,130,48.21,20.4,80.27,1264,1395,47.54,533,603,46.92,53,73,42.06,9.94,87.89,2607,3206,44.85,941,1110,45.88,40,45,47.06,4.25,95.95,9.94,89.93,0.999,1,1
2024:2025,Vegas Golden Knights,82,4967.7667,4963,4789,50.89,3639,3394,51.74,2482,2141,53.69,256.06,224.79,53.25,2387,2174,52.34,1315,1074,55.04,225,166,57.54,17.11,84.54,989,870,53.2,618,508,54.88,129,101,56.09,20.87,80.12,1398,1304,51.74,697,566,55.19,96,65,59.63,13.77,88.52,2982,2838,51.24,1030,949,52.05,41,46,47.13,3.98,95.15,11.04,90.0,1.01,1,2
2024:2025,Anaheim Ducks,82,4989.2667,4754,5549,46.14,3452,4040,46.08,2270,2649,46.15,237.6,287.68,45.23,2164,2664,44.82,1169,1390,45.68,164,218,42.93,14.03,84.32,861,1096,44.0,552,704,43.95,107,144,42.63,19.38,79.55,1303,1568,45.38,617,686,47.35,57,74,43.51,9.24,89.21,2720,3385,44.55,964,1153,45.54,45,36,55.56,4.67,96.88,9.56,90.15,0.997,0,0
2024:2025,Vancouver Canucks,82,5000.35,4595,4725,49.3,3270,3419,48.89,2096,2198,48.81,227.02,235.15,49.12,2103,2144,49.52,1078,1103,49.43,184,185,49.86,17.07,83.23,855,914,48.33,548,562,49.37,118,117,50.21,21.53,79.18,1248,1230,50.36,530,541,49.49,66,68,49.25,12.45,87.43,2785,2872,49.23,892,958,48.22,40,54,42.55,4.48,94.36,11.12,88.58,0.997,0,0
2024:2025,Utah Hockey Club,82,4994.2167,5081,4752,51.67,3633,3371,51.87,2342,2272,50.76,258.19,249.62,50.84,2357,2212,51.59,1242,1125,52.47,188,194,49.21,15.14,82.76,914,885,50.81,609,559,52.14,108,122,46.96,17.73,78.18,1443,1327,52.09,633,566,52.79,80,72,52.63,12.64,87.28,3095,2841,52.14,985,1003,49.55,43,46,48.31,4.37,95.41,10.25,89.13,0.994,0,0
2024:2025,Toronto Maple Leafs,82,4960.5833,4659,5199,47.26,3418,3703,48.0,2298,2406,48.85,249.95,263.08,48.72,2266,2386,48.71,1236,1196,50.82,221,179,55.25,17.88,85.03,938,927,50.29,611,565,51.96,127,105,54.74,20.79,81.42,1328,1459,47.65,625,631,49.76,94,74,55.95,15.04,88.27,2755,3123,46.87,924,1085,45.99,38,46,45.24,4.11,95.76,11.62,90.48,1.021,1,2
2024:2025,Tampa Bay Lightning,82,4965.9167,4910,4693,51.13,3527,3395,50.95,2343,2312,50.33,262.51,237.5,52.5,2382,2157,52.48,1311,1200,52.21,228,168,57.58,17.39,86.0,1010,853,54.21,680,569,54.44,148,90,62.18,21.76,84.18,1372,1304,51.27,631,631,50.0,80,78,50.63,12.68,87.64,2893,2903,49.91,915,978,48.34,57,37,60.64,6.23,96.22,12.46,90.66,1.031,1,1
2024:2025,St Louis Blues,82,4981.3833,4501,4743,48.69,3178,3351,48.68,2186,2236,49.43,220.54,224.43,49.56,2179,2189,49.89,1188,1090,52.15,202,179,53.02,17.0,83.58,838,836,50.06,537,523,50.66,116,106,52.25,21.6,79.73,1341,1353,49.78,651,567,53.45,86,73,54.09,13.21,87.13,2685,2865,48.38,872,1016,46.19,44,45,49.44,5.05,95.57,11.44,89.67,1.011,1,1
2024:2025,Seattle Kraken,82,4958.75,4788,5149,48.18,3488,3708,48.47,2243,2343,48.91,226.01,261.77,46.33,2062,2306,47.21,1077,1196,47.38,186,197,48.56,17.27,83.53,852,953,47.2,511,583,46.71,109,118,48.02,21.33,79.76,1210,1353,47.21,566,613,48.01,77,79,49.36,13.6,87.11,2990,3158,48.63,1032,1026,50.15,54,53,50.47,5.23,94.83,10.92,88.82,0.997,0,0
2024:2025,San Jose Sharks,82,4973.25,4628,5471,45.83,3292,3911,45.7,2203,2607,45.8,215.91,289.57,42.71,2128,2636,44.67,1078,1406,43.4,158,239,39.8,14.66,83.0,828,1034,44.47,500,663,42.99,82,125,39.61,16.4,81.15,1300,1602,44.8,578,743,43.75,76,114,40.0,13.15,84.66,2788,3219,46.41,980,1082,47.53,46,61,42.99,4.69,94.36,9.44,88.11,0.976,0,0
2024:2025,Pittsburgh Penguins,82,4982.55,4965,4984,49.9,3557,3655,49.32,2326,2472,48.48,262.47,259.1,50.32,2352,2403,49.46,1192,1322,47.41,191,231,45.26,16.02,82.53,1033,970,51.57,653,638,50.58,124,125,49.8,18.99,80.41,1319,1433,47.93,539,684,44.07,67,106,38.73,12.43,84.5,2988,2895,50.79,1004,1018,49.65,43,49,46.74,4.28,95.19,10.4,88.39,0.988,0,0
2024:2025,Philadelphia Flyers,82,4995.25,4580,4938,48.12,3334,3354,49.85,2212,2210,50.02,235.27,228.81,50.7,2179,2319,48.44,1194,1155,50.83,178,218,44.95,14.91,81.13,916,837,52.25,608,542,52.87,117,127,47.95,19.24,76.57,1263,1482,46.01,586,613,48.87,61,91,40.13,10.41,85.15,2734,2890,48.61,921,914,50.19,50,59,45.87,5.43,93.54,10.49,87.19,0.977,0,0
2024:2025,Ottawa Senators,82,4955.5833,4940,4820,50.61,3546,3429,50.84,2403,2347,50.59,246.3,240.83,50.56,2318,2228,50.99,1233,1201,50.66,197,183,51.84,15.98,84.76,911,903,50.22,594,597,49.87,108,111,49.32,18.18,81.41,1407,1325,51.5,639,604,51.41,89,72,55.28,13.93,88.08,2987,2894,50.79,1043,1009,50.83,41,42,49.4,3.93,95.84,10.07,90.12,1.002,1,1
2024:2025,New York Rangers,82,4949.7833,4939,4993,49.73,3605,3657,49.64,2344,2451,48.88,256.16,270.92,48.6,2323,2431,48.86,1230,1351,47.66,202,217,48.21,16.42,83.94,943,1060,47.08,626,699,47.25,115,133,46.37,18.37,80.97,1380,1371,50.16,604,652,48.09,87,84,50.88,14.4,87.12,2976,2832,51.24,996,982,50.35,47,33,58.75,4.72,96.64,10.88,89.6,1.005,0,0
2024:2025,New York Islanders,82,4978.0333,5033,5047,49.93,3649,3588,50.42,2420,2357,50.66,253.3,248.65,50.46,2347,2317,50.32,1256,1201,51.12,180,185,49.32,14.33,84.6,975,961,50.36,614,609,50.2,110,112,49.55,17.92,81.61,1372,1356,50.29,642,592,52.03,70,73,48.95,10.9,87.67,3089,2927,51.35,1033,1031,50.05,33,60,35.48,3.19,94.18,9.17,89.1,0.983,0,0
2024:2025,Nashville Predators,82,4955.05,5004,4674,51.7,3563,3420,51.02,2403,2344,50.62,259.9,241.19,51.87,2348,2262,50.93,1188,1228,49.17,159,210,43.09,13.38,82.9,958,925,50.88,584,597,49.45,103,109,48.58,17.64,81.74,1390,1337,50.97,604,631,48.91,56,101,35.67,9.27,83.99,3010,2736,52.38,1094,990,52.5,45,54,45.45,4.11,94.55,8.82,88.31,0.971,0,0
2024:2025,Winnipeg Jets,82,4959.9167,4790,4840,49.74,3540,3462,50.56,2316,2229,50.96,249.87,232.91,51.76,2181,2091,51.05,1131,1071,51.36,212,138,60.57,18.74,87.11,989,867,53.29,622,519,54.51,140,82,63.06,22.51,84.2,1192,1224,49.34,509,552,47.97,72,56,56.25,14.15,89.86,2970,3024,49.55,1051,1021,50.72,57,40,58.76,5.42,96.08,11.87,91.48,1.033,1,2
2024:2025,New Jersey Devils,82,4963.4667,5001,4671,51.71,3510,3394,50.84,2304,2163,51.58,263.29,237.98,52.52,2454,2152,53.28,1263,1119,53.02,204,171,54.4,16.15,84.72,990,896,52.49,617,553,52.74,110,107,50.69,17.83,80.65,1464,1256,53.82,646,566,53.3,94,64,59.49,14.55,88.69,2880,2840,50.35,925,929,49.89,33,43,43.42,3.57,95.37,10.42,89.83,1.002,1,1
2024:2025,Minnesota Wild,82,4976.4,4648,5101,47.68,3373,3646,48.06,2264,2427,48.26,228.66,230.05,49.85,2099,2215,48.66,1095,1179,48.15,167,182,47.85,15.25,84.56,871,841,50.88,540,548,49.63,93,101,47.94,17.22,81.57,1228,1374,47.19,555,631,46.8,74,81,47.74,13.33,87.16,2754,3296,45.52,1039,1125,48.01,42,48,46.67,4.04,95.73,9.94,90.28,1.002,1,1
2024:2025,Los Angeles Kings,82,4963.35,5055,4503,52.89,3627,3201,53.12,2304,2093,52.4,249.61,214.71,53.76,2276,2072,52.35,1112,1083,50.66,191,157,54.89,17.18,85.5,974,840,53.69,572,544,51.25,113,96,54.07,19.76,82.35,1302,1232,51.38,540,539,50.05,78,61,56.12,14.44,88.68,3051,2675,53.28,1054,874,54.67,46,41,52.87,4.36,95.31,10.81,90.3,1.011,1,1
2024:2025,Florida Panthers,82,4973.3333,5459,4336,55.73,3937,3250,54.78,2589,2148,54.65,274.4,225.38,54.9,2478,1920,56.34,1320,1059,55.49,183,168,52.14,13.86,84.14,1023,857,54.41,670,559,54.52,124,113,52.32,18.51,79.79,1455,1063,57.78,650,500,56.52,59,55,51.75,9.08,89.0,3430,2711,55.85,1166,936,55.47,57,45,55.88,4.89,95.19,9.5,89.62,0.991,1,5
2024:2025,Edmonton Oilers,82,4958.7333,5183,4487,53.6,3783,3227,53.97,2623,2211,54.26,274.73,231.06,54.32,2481,2153,53.54,1344,1145,54.0,204,192,51.52,15.18,83.23,1045,801,56.61,681,498,57.76,130,105,55.32,19.09,78.92,1436,1352,51.51,663,647,50.61,74,87,45.96,11.16,86.55,3134,2641,54.27,1149,946,54.84,50,38,56.82,4.35,95.98,9.87,89.37,0.992,1,4
2024:2025,Detroit Red Wings,82,4973.95,4680,4969,48.5,3405,3561,48.88,2250,2337,49.05,252.43,252.16,50.03,2204,2290,49.04,1193,1167,50.55,197,196,50.13,16.51,83.2,869,946,47.88,559,583,48.95,105,121,46.46,18.78,79.25,1335,1344,49.83,634,584,52.05,92,75,55.09,14.51,87.16,2828,3064,48.0,922,1051,46.73,35,57,38.04,3.8,94.58,10.44,88.92,0.994,0,0
2024:2025,Dallas Stars,82,4960.9667,4921,4851,50.36,3468,3589,49.14,2325,2382,49.39,270.41,253.54,51.61,2434,2298,51.44,1293,1183,52.22,224,184,54.9,17.32,84.45,1042,961,52.02,686,586,53.93,152,125,54.87,22.16,78.67,1392,1337,51.01,607,597,50.42,72,59,54.96,11.86,90.12,2894,2952,49.5,899,1051,46.1,41,36,53.25,4.56,96.57,11.83,90.68,1.025,1,3
2024:2025,Colorado Avalanche,82,4968.1333,5242,4506,53.78,3701,3187,53.73,2451,2126,53.55,258.16,237.73,52.06,2510,2065,54.86,1285,1111,53.63,202,180,52.88,15.72,83.8,940,890,51.37,594,570,51.03,106,118,47.32,17.85,79.3,1570,1175,57.19,691,541,56.09,96,62,60.76,13.89,88.54,3071,2748,52.78,1031,886,53.78,56,41,57.73,5.43,95.37,11.14,89.13,1.003,1,1
